Dept_Code,Department_Name,SubDept_Code,SubDepartment_Name,Prog_Code,Program_Name,Program_Priority,Source_Fund_Code,Source_Fund_Name,Account_Code,Account_Name,Appropriation,Fiscal_Year,Expense_Type
2,Aging,02LVL5,Aging,,,,,,,,3953604,2010,
6,Animal Services,06LVL5,Animal Services,,,,,,,,19431433,2010,
8,Building and Safety,08LVL5,Building and Safety,,,,,,,,70414178,2010,
,Capital Finance Administration*,53,Capital Finance Administration,,,,,,,,205554130,2010,
54,Capital Improvement Expenditure Program*,54M,Capital Improvement Expenditure Program,,,,,,,,255324198,2010,
10,City Administrative Officer,10LVL5,City Administrative Officer,,,,,,,,12131954,2010,
12,City Attorney,12LVL5,City Attorney,,,,,,,,95267403,2010,
14,City Clerk,14LVL5,City Clerk,,,,,,,,10073723,2010,
68,City Planning,68LVL5,City Planning,,,,,,,,28861528,2010,
26,Controller,26LVL5,Controller,,,,,,,,15218774,2010,
48,Convention and Tourism Development,48LVL5,Convention and Tourism Development,,,,,,,,23390000,2010,
28,Council,28LVL5,Council,,,,,,,,22641568,2010,
30,Cultural Affairs,30LVL5,Cultural Affairs,,,,,,,,9599452,2010,
,Debt Service*,S36,Bond Redemption and Interest,,,,,,,,163385457,2010,
65,Disability,65LVL5,Disability,,,,,,,,1728131,2010,
22,Economic and Workforce Development,22LVL5,Economic and Workforce Development,,,,,,,,18725907,2010,
33,El Pueblo de Los Angeles,33LVL5,El Pueblo de Los Angeles,,,,,,,,2011597,2010,
35,Emergency Management,35LVL5,Emergency Management,,,,,,,,2048959,2010,
36,Employee Relations Board,36LVL5,Employee Relations Board,,,,,,,,359729,2010,
,Environmental Affairs*,Archived,Environmental Affairs,,,,,,,,2773188,2010,
17,Ethics Commission,17LVL5,City Ethics Commission,,,,,,,,2248272,2010,
39,Finance,39LVL5,Finance,,,,,,,,26070305,2010,
38,Fire,38LVL5,Fire,,,,,,,,505655091,2010,
,General City Purposes*,56,General City Purposes,,,,,,,,109808932,2010,
40,General Services,40LVL5,General Services,,,,,,,,253342750,2010,
43,Housing and Community Investment ,43LVL5,Housing and Community Investment,,,,,,,,50899846,2010,
,Human Resources Benefits,61,Human Resources Benefits,,,,,,,,517660900,2010,
,Human Services*,Archived,Human Services,,,,,,,,2148105,2010,
32,Information Technology Agency,32LVL5,Information Technology Agency,,,,,,,,91271232,2010,
