"Dept.Code","Dept.Name","Org.Level.5.Code","Org.Level.5.Name","Prog.Code","Prog.Name","Fund.Code","Fund.Name","Source.Fund.Code","Source.Fund.Name","Account.Code","Account.Name","X2017.18.Proposed"
"02","Aging","02LVL5","Aging","0201","Senior Services","100","General Fund","100","General Fund","001010","Salaries General",587099
"02","Aging","02LVL5","Aging","0201","Senior Services","100","General Fund","100","General Fund","001070","Salaries, As-Needed",0
"02","Aging","02LVL5","Aging","0201","Senior Services","100","General Fund","100","General Fund","001090","Overtime General",3900
"02","Aging","02LVL5","Aging","0201","Senior Services","100","General Fund","100","General Fund","002120","Printing and Binding",263
"02","Aging","02LVL5","Aging","0201","Senior Services","100","General Fund","100","General Fund","002130","Travel",7050
"02","Aging","02LVL5","Aging","0201","Senior Services","100","General Fund","100","General Fund","003040","Contractual Services",1667408
"02","Aging","02LVL5","Aging","0201","Senior Services","100","General Fund","100","General Fund","003310","Transportation",7693
"02","Aging","02LVL5","Aging","0201","Senior Services","100","General Fund","100","General Fund","006010","Office and Administrative",32589
"02","Aging","02LVL5","Aging","0201","Senior Services","100","General Fund","385","Proposition A Local Transit Assistance Fund (Sch. 26)","001010","Salaries General",385167
"02","Aging","02LVL5","Aging","0201","Senior Services","100","General Fund","385","Proposition A Local Transit Assistance Fund (Sch. 26)","002120","Printing and Binding",2525
"02","Aging","02LVL5","Aging","0201","Senior Services","100","General Fund","385","Proposition A Local Transit Assistance Fund (Sch. 26)","002130","Travel",1400
"02","Aging","02LVL5","Aging","0201","Senior Services","100","General Fund","385","Proposition A Local Transit Assistance Fund (Sch. 26)","003040","Contractual Services",6673
"02","Aging","02LVL5","Aging","0201","Senior Services","100","General Fund","385","Proposition A Local Transit Assistance Fund (Sch. 26)","003310","Transportation",25
"02","Aging","02LVL5","Aging","0201","Senior Services","100","General Fund","385","Proposition A Local Transit Assistance Fund (Sch. 26)","006010","Office and Administrative",4679
"02","Aging","02LVL5","Aging","0201","Senior Services","100","General Fund","395","Area Plan for the Aging Title 7 Fund (Sch. 21)","001010","Salaries General",1706502
"02","Aging","02LVL5","Aging","0201","Senior Services","100","General Fund","410","Other Programs for the Aging (Sch. 21)","001010","Salaries General",NA
"02","Aging","02LVL5","Aging","0201","Senior Services","100","General Fund","410","Other Programs for the Aging (Sch. 21)","001070","Salaries, As-Needed",178393
"02","Aging","02LVL5","Aging","0201","Senior Services","100","General Fund","424","Community Development Trust Fund (Sch. 8)","001010","Salaries General",240187
"02","Aging","02LVL5","Aging","0201","Senior Services","100","General Fund","424","Community Development Trust Fund (Sch. 8)","001070","Salaries, As-Needed",44038
"02","Aging","02LVL5","Aging","0201","Senior Services","100","General Fund","424","Community Development Trust Fund (Sch. 8)","002120","Printing and Binding",2000
"02","Aging","02LVL5","Aging","0201","Senior Services","100","General Fund","424","Community Development Trust Fund (Sch. 8)","003040","Contractual Services",5575
"02","Aging","02LVL5","Aging","0201","Senior Services","100","General Fund","424","Community Development Trust Fund (Sch. 8)","006010","Office and Administrative",8200
"02","Aging","02LVL5","Aging","0201","Senior Services","100","General Fund","42J","Senior Human Services Program Fund (Sch. 29)","001010","Salaries General",NA
"02","Aging","02LVL5","Aging","0201","Senior Services","100","General Fund","47Y","HICAP Fund (Sch. 29)","001010","Salaries General",NA
"02","Aging","02LVL5","Aging","0201","Senior Services","100","General Fund","53M","LACMTA Grant Projects (Sch. 29)","001010","Salaries General",NA
"02","Aging","02LVL5","Aging","0201","Senior Services","100","General Fund","57E","Supplemental Nutrition Assistance Program Fund (Sch. 29)","001010","Salaries General",NA
"02","Aging","02LVL5","Aging","0202","Family Caregiver Services","100","General Fund","100","General Fund","001010","Salaries General",14623
"02","Aging","02LVL5","Aging","0202","Family Caregiver Services","100","General Fund","100","General Fund","003040","Contractual Services",4000
"02","Aging","02LVL5","Aging","0202","Family Caregiver Services","100","General Fund","100","General Fund","006010","Office and Administrative",NA
"02","Aging","02LVL5","Aging","0202","Family Caregiver Services","100","General Fund","395","Area Plan for the Aging Title 7 Fund (Sch. 21)","001010","Salaries General",620680
"02","Aging","02LVL5","Aging","0203","Older Workers Program","100","General Fund","100","General Fund","003040","Contractual Services",450000
"02","Aging","02LVL5","Aging","0203","Older Workers Program","100","General Fund","100","General Fund","006010","Office and Administrative",NA
"02","Aging","02LVL5","Aging","0203","Older Workers Program","100","General Fund","395","Area Plan for the Aging Title 7 Fund (Sch. 21)","001010","Salaries General",22103
"02","Aging","02LVL5","Aging","0203","Older Workers Program","100","General Fund","395","Area Plan for the Aging Title 7 Fund (Sch. 21)","002120","Printing and Binding",1013
"02","Aging","02LVL5","Aging","0203","Older Workers Program","100","General Fund","395","Area Plan for the Aging Title 7 Fund (Sch. 21)","003040","Contractual Services",4500
"02","Aging","02LVL5","Aging","0203","Older Workers Program","100","General Fund","395","Area Plan for the Aging Title 7 Fund (Sch. 21)","006010","Office and Administrative",6737
"02","Aging","02LVL5","Aging","0203","Older Workers Program","100","General Fund","410","Other Programs for the Aging (Sch. 21)","001010","Salaries General",279850
"02","Aging","02LVL5","Aging","0203","Older Workers Program","100","General Fund","410","Other Programs for the Aging (Sch. 21)","002130","Travel",200
"02","Aging","02LVL5","Aging","0203","Older Workers Program","100","General Fund","410","Other Programs for the Aging (Sch. 21)","003040","Contractual Services",500
"02","Aging","02LVL5","Aging","0203","Older Workers Program","100","General Fund","410","Other Programs for the Aging (Sch. 21)","003310","Transportation",1407
"02","Aging","02LVL5","Aging","0203","Older Workers Program","100","General Fund","410","Other Programs for the Aging (Sch. 21)","006010","Office and Administrative",2763
"06","Animal Services","06LVL5","Animal Services","0601","Animal Control and Law Enforcement","100","General Fund","100","General Fund","001010","Salaries General",5086424
"06","Animal Services","06LVL5","Animal Services","0601","Animal Control and Law Enforcement","100","General Fund","100","General Fund","001070","Salaries, As-Needed",84302
"06","Animal Services","06LVL5","Animal Services","0601","Animal Control and Law Enforcement","100","General Fund","100","General Fund","001090","Overtime General",23500
"06","Animal Services","06LVL5","Animal Services","0601","Animal Control and Law Enforcement","100","General Fund","100","General Fund","003040","Contractual Services",0
"06","Animal Services","06LVL5","Animal Services","0601","Animal Control and Law Enforcement","100","General Fund","100","General Fund","003310","Transportation",NA
"06","Animal Services","06LVL5","Animal Services","0601","Animal Control and Law Enforcement","100","General Fund","100","General Fund","004430","Uniforms",27660
"06","Animal Services","06LVL5","Animal Services","0601","Animal Control and Law Enforcement","100","General Fund","100","General Fund","006010","Office and Administrative",40000
"06","Animal Services","06LVL5","Animal Services","0601","Animal Control and Law Enforcement","100","General Fund","100","General Fund","006020","Operating Supplies",65000
"06","Animal Services","06LVL5","Animal Services","0601","Animal Control and Law Enforcement","100","General Fund","55R","Code Compliance Fund (Sch. 29)","001010","Salaries General",52990
"06","Animal Services","06LVL5","Animal Services","0602","Shelter Operations and Animal Care","100","General Fund","100","General Fund","001010","Salaries General",9228895
"06","Animal Services","06LVL5","Animal Services","0602","Shelter Operations and Animal Care","100","General Fund","100","General Fund","001070","Salaries, As-Needed",78967
"06","Animal Services","06LVL5","Animal Services","0602","Shelter Operations and Animal Care","100","General Fund","100","General Fund","001090","Overtime General",15500
"06","Animal Services","06LVL5","Animal Services","0602","Shelter Operations and Animal Care","100","General Fund","100","General Fund","003040","Contractual Services",46000
"06","Animal Services","06LVL5","Animal Services","0602","Shelter Operations and Animal Care","100","General Fund","100","General Fund","003190","Medical Supplies",NA
"06","Animal Services","06LVL5","Animal Services","0602","Shelter Operations and Animal Care","100","General Fund","100","General Fund","003310","Transportation",NA
"06","Animal Services","06LVL5","Animal Services","0602","Shelter Operations and Animal Care","100","General Fund","100","General Fund","004430","Uniforms",NA
