Dept_Code,Department_Name,SubDept_Code,SubDepartment_Name,Prog_Code,Program_Name,Program_Priority,Source_Fund_Code,Source_Fund_Name,Account_Code,Account_Name,Appropriation,Fiscal_Year,Expense_Type
OTHERSPF,Other Special Purpose Funds,S29,Allocations from Other Governmental Agencies and Sources,629,Allocations from Other Governmental Agencies and Sources,A Well Run City,55R,Code Compliance Fund (Sch. 29),39_299,Reimbursement of General Fund Costs,72570,2018,
OTHERSPF,Other Special Purpose Funds,S29,Allocations from Other Governmental Agencies and Sources,629,Allocations from Other Governmental Agencies and Sources,A Well Run City,588,City Planning System Development Fund (Sch. 29),68_299,Reimbursement of General Fund Costs,3708986,2018,
OTHERSPF,Other Special Purpose Funds,S29,Allocations from Other Governmental Agencies and Sources,629,Allocations from Other Governmental Agencies and Sources,A Well Run City,842,Animal Sterilization Fund (Sch. 29),06299_,Reimbursement of General Fund Costs,320031,2018,
OTHERSPF,Other Special Purpose Funds,S29,Allocations from Other Governmental Agencies and Sources,829,Allocations from Other Governmental Agencies and Sources,A Well Run City,346,Repair & Demolition Fund (Sch. 29),08299_,Reimbursement of General Fund Costs,393374,2018,
OTHERSPF,Other Special Purpose Funds,S29,Allocations from Other Governmental Agencies and Sources,829,Allocations from Other Governmental Agencies and Sources,A Well Run City,46F,Off-Site Sign Periodic Inspection Fee Fund (Sch. 29),08_299,Reimbursement of General Fund Costs,481748,2018,
OTHERSPF,Other Special Purpose Funds,S29,Allocations from Other Governmental Agencies and Sources,1029,Allocations from Other Governmental Agencies and Sources,A Well Run City,57D,CRA Non-Housing Bond Proceeds Fund (Sch. 29),22_299,Reimbursement of General Fund Costs,140225,2018,
OTHERSPF,Other Special Purpose Funds,S29,Allocations from Other Governmental Agencies and Sources,1229,Allocations from Other Governmental Agencies and Sources,A Well Run City,10D,Accessible Housing Fund (Sch. 29),43_299,Reimbursement of General Fund Costs,98172,2018,
OTHERSPF,Other Special Purpose Funds,S29,Allocations from Other Governmental Agencies and Sources,1229,Allocations from Other Governmental Agencies and Sources,A Well Run City,50T,Neighborhood Stabilization Program Fund (Sch. 29),43_299,Reimbursement of General Fund Costs,65473,2018,
OTHERSPF,Other Special Purpose Funds,S29,Allocations from Other Governmental Agencies and Sources,1229,Allocations from Other Governmental Agencies and Sources,A Well Run City,52F,Planning Long-Range Planning Fund (Sch. 29),68299_,Reimbursement of General Fund Costs,194047,2018,
OTHERSPF,Other Special Purpose Funds,S29,Allocations from Other Governmental Agencies and Sources,1229,Allocations from Other Governmental Agencies and Sources,A Well Run City,550,City Attorney Consumer Protection Fund (Sch. 29),12_299,Reimbursement of General Fund Costs,2365535,2018,
OTHERSPF,Other Special Purpose Funds,S29,Allocations from Other Governmental Agencies and Sources,1229,Allocations from Other Governmental Agencies and Sources,A Well Run City,55R,Code Compliance Fund (Sch. 29),39_299,Reimbursement of General Fund Costs,250001,2018,
OTHERSPF,Other Special Purpose Funds,S29,Allocations from Other Governmental Agencies and Sources,2229,Allocations from Other Governmental Agencies and Sources,A Well Run City,43F,CDD Section 108 Loan Guarantee Fund (Sch. 29),22_299,Reimbursement of General Fund Costs,145965,2018,
OTHERSPF,Other Special Purpose Funds,S29,Allocations from Other Governmental Agencies and Sources,2229,Allocations from Other Governmental Agencies and Sources,A Well Run City,48L,Enterprise Zone Tax Credit Voucher Fund (Sch. 29),22_299,Reimbursement of General Fund Costs,230049,2018,
OTHERSPF,Other Special Purpose Funds,S29,Allocations from Other Governmental Agencies and Sources,2229,Allocations from Other Governmental Agencies and Sources,A Well Run City,54R,Workforce Innovation Fund (Sch. 29),22_299,Reimbursement of General Fund Costs,71772,2018,
OTHERSPF,Other Special Purpose Funds,S29,Allocations from Other Governmental Agencies and Sources,2229,Allocations from Other Governmental Agencies and Sources,A Well Run City,56E,Temporary Assistance for Needy Families Fund (Sch. 29),22_299,Reimbursement of General Fund Costs,307664,2018,
OTHERSPF,Other Special Purpose Funds,S29,Allocations from Other Governmental Agencies and Sources,2229,Allocations from Other Governmental Agencies and Sources,A Well Run City,57C,LA Regional Initiative for Social Enterprise (Sch. 29),22_299,Reimbursement of General Fund Costs,134259,2018,
OTHERSPF,Other Special Purpose Funds,S29,Allocations from Other Governmental Agencies and Sources,2229,Allocations from Other Governmental Agencies and Sources,A Well Run City,57D,CRA Non-Housing Bond Proceeds Fund (Sch. 29),22_298,Reimbursement of General Fund Costs,0,2018,
OTHERSPF,Other Special Purpose Funds,S29,Allocations from Other Governmental Agencies and Sources,2229,Allocations from Other Governmental Agencies and Sources,A Well Run City,57D,CRA Non-Housing Bond Proceeds Fund (Sch. 29),22_299,Reimbursement of General Fund Costs,240092,2018,
OTHERSPF,Other Special Purpose Funds,S29,Allocations from Other Governmental Agencies and Sources,2229,Allocations from Other Governmental Agencies and Sources,A Well Run City,58E,LA Performance Partnership Pilot Fund (Sch. 29),22_299,Reimbursement of General Fund Costs,36739,2018,
OTHERSPF,Other Special Purpose Funds,S29,Allocations from Other Governmental Agencies and Sources,2229,Allocations from Other Governmental Agencies and Sources,A Well Run City,816,Industrial Development Authority Fund (Sch. 29),22_299,Reimbursement of General Fund Costs,1258,2018,
OTHERSPF,Other Special Purpose Funds,S29,Allocations from Other Governmental Agencies and Sources,3929,Allocations from Other Governmental Agencies and Sources,A Well Run City,55R,Code Compliance Fund (Sch. 29),39_299,Reimbursement of General Fund Costs,86608,2018,
OTHERSPF,Other Special Purpose Funds,S29,Allocations from Other Governmental Agencies and Sources,4329,Allocations from Other Governmental Agencies and Sources,A Well Run City,10D,Accessible Housing Fund (Sch. 29),43_299,Reimbursement of General Fund Costs,2234619,2018,
OTHERSPF,Other Special Purpose Funds,S29,Allocations from Other Governmental Agencies and Sources,4329,Allocations from Other Governmental Agencies and Sources,A Well Run City,240,Housing Production Revolving Fund (Sch. 29),43_299,Reimbursement of General Fund Costs,231383,2018,
OTHERSPF,Other Special Purpose Funds,S29,Allocations from Other Governmental Agencies and Sources,4329,Allocations from Other Governmental Agencies and Sources,A Well Run City,45C,Traffic Safety Education Program Fund (Sch. 29),43_299,Reimbursement of General Fund Costs,118575,2018,
OTHERSPF,Other Special Purpose Funds,S29,Allocations from Other Governmental Agencies and Sources,4329,Allocations from Other Governmental Agencies and Sources,A Well Run City,47X,HUD Connections Grant Fund (Sch. 29),43_299,Reimbursement of General Fund Costs,0,2018,
OTHERSPF,Other Special Purpose Funds,S29,Allocations from Other Governmental Agencies and Sources,4329,Allocations from Other Governmental Agencies and Sources,A Well Run City,50T,Neighborhood Stabilization Program Fund (Sch. 29),43_299,Reimbursement of General Fund Costs,0,2018,
OTHERSPF,Other Special Purpose Funds,S29,Allocations from Other Governmental Agencies and Sources,4329,Allocations from Other Governmental Agencies and Sources,A Well Run City,517,Federal Emergency Shelter Grant Fund (Sch. 29),43_299,Reimbursement of General Fund Costs,7455,2018,
OTHERSPF,Other Special Purpose Funds,S29,Allocations from Other Governmental Agencies and Sources,4329,Allocations from Other Governmental Agencies and Sources,A Well Run City,51S,ARRA Energy Efficiency & Conservation (Sch. 29),43_299,Reimbursement of General Fund Costs,0,2018,
OTHERSPF,Other Special Purpose Funds,S29,Allocations from Other Governmental Agencies and Sources,4329,Allocations from Other Governmental Agencies and Sources,A Well Run City,52J,ARRA Neighborhood Stabilization Fund (Sch. 29),43_299,Reimbursement of General Fund Costs,0,2018,
OTHERSPF,Other Special Purpose Funds,S29,Allocations from Other Governmental Agencies and Sources,4329,Allocations from Other Governmental Agencies and Sources,A Well Run City,53T,Neighborhood Stabilization Program 3 - WSRA (Sch. 29),43_299,Reimbursement of General Fund Costs,80105,2018,
OTHERSPF,Other Special Purpose Funds,S29,Allocations from Other Governmental Agencies and Sources,4329,Allocations from Other Governmental Agencies and Sources,A Well Run City,54S,LEAD Grant 10 Fund (Sch. 29),43_299,Reimbursement of General Fund Costs,0,2018,
OTHERSPF,Other Special Purpose Funds,S29,Allocations from Other Governmental Agencies and Sources,4329,Allocations from Other Governmental Agencies and Sources,A Well Run City,55A,CPUC - Gas Company Fund (Sch. 29),43_299,Reimbursement of General Fund Costs,0,2018,
OTHERSPF,Other Special Purpose Funds,S29,Allocations from Other Governmental Agencies and Sources,4329,Allocations from Other Governmental Agencies and Sources,A Well Run City,55J,Low and Moderate Income Housing Fund (Sch. 29),43_299,Reimbursement of General Fund Costs,1768439,2018,
OTHERSPF,Other Special Purpose Funds,S29,Allocations from Other Governmental Agencies and Sources,4329,Allocations from Other Governmental Agencies and Sources,A Well Run City,56V,Foreclosure Registry Program Fund (Sch. 29),43_299,Reimbursement of General Fund Costs,722621,2018,
OTHERSPF,Other Special Purpose Funds,S29,Allocations from Other Governmental Agencies and Sources,4329,Allocations from Other Governmental Agencies and Sources,A Well Run City,57D,CRA Non-Housing Bond Proceeds Fund (Sch. 29),22_298,Reimbursement of General Fund Costs,2310,2018,
OTHERSPF,Other Special Purpose Funds,S29,Allocations from Other Governmental Agencies and Sources,4329,Allocations from Other Governmental Agencies and Sources,A Well Run City,57R,LEAD Grant 11 Fund (Sch. 29),43_299,Reimbursement of General Fund Costs,168852,2018,
OTHERSPF,Other Special Purpose Funds,S29,Allocations from Other Governmental Agencies and Sources,6829,Allocations from Other Governmental Agencies and Sources,A Well Run City,52F,Planning Long-Range Planning Fund (Sch. 29),68299_,Reimbursement of General Fund Costs,2183911,2018,
OTHERSPF,Other Special Purpose Funds,S29,Allocations from Other Governmental Agencies and Sources,6829,Allocations from Other Governmental Agencies and Sources,A Well Run City,588,City Planning System Development Fund (Sch. 29),68_299,Reimbursement of General Fund Costs,0,2018,
OTHERSPF,Other Special Purpose Funds,S29,Allocations from Other Governmental Agencies and Sources,7429,Allocations from Other Governmental Agencies and Sources,A Well Run City,655,Transportation Grants Fund (Sch. 29),94_299,Reimbursement of General Fund Costs,108968,2018,
OTHERSPF,Other Special Purpose Funds,S29,Allocations from Other Governmental Agencies and Sources,7629,Allocations from Other Governmental Agencies and Sources,A Well Run City,655,Transportation Grants Fund (Sch. 29),94_299,Reimbursement of General Fund Costs,284655,2018,
OTHERSPF,Other Special Purpose Funds,S29,Allocations from Other Governmental Agencies and Sources,7829,Allocations from Other Governmental Agencies and Sources,A Well Run City,655,Transportation Grants Fund (Sch. 29),94_299,Reimbursement of General Fund Costs,699890,2018,
OTHERSPF,Other Special Purpose Funds,S29,Allocations from Other Governmental Agencies and Sources,8429,Allocations from Other Governmental Agencies and Sources,A Well Run City,655,Transportation Grants Fund (Sch. 29),94_299,Reimbursement of General Fund Costs,128680,2018,
OTHERSPF,Other Special Purpose Funds,S29,Allocations from Other Governmental Agencies and Sources,8629,Allocations from Other Governmental Agencies and Sources,A Well Run City,655,Transportation Grants Fund (Sch. 29),94_299,Reimbursement of General Fund Costs,1686363,2018,
OTHERSPF,Other Special Purpose Funds,S29,Allocations from Other Governmental Agencies and Sources,9429,Allocations from Other Governmental Agencies and Sources,A Well Run City,447,Coastal Transportation Corridor Trust Fund (Sch. 29),94299_,Reimbursement of General Fund Costs,420980,2018,
OTHERSPF,Other Special Purpose Funds,S29,Allocations from Other Governmental Agencies and Sources,9429,Allocations from Other Governmental Agencies and Sources,A Well Run City,49C,Permit Parking Program Revenue Fund (Sch. 29),94_299,Reimbursement of General Fund Costs,1495375,2018,
OTHERSPF,Other Special Purpose Funds,S29,Allocations from Other Governmental Agencies and Sources,9429,Allocations from Other Governmental Agencies and Sources,A Well Run City,523,Ventura/Cahuenga Corridor Plan Fund (Sch. 29),94_299,Reimbursement of General Fund Costs,123027,2018,
OTHERSPF,Other Special Purpose Funds,S29,Allocations from Other Governmental Agencies and Sources,9429,Allocations from Other Governmental Agencies and Sources,A Well Run City,52F,Planning Long-Range Planning Fund (Sch. 29),68299_,Reimbursement of General Fund Costs,210413,2018,
OTHERSPF,Other Special Purpose Funds,S29,Allocations from Other Governmental Agencies and Sources,9429,Allocations from Other Governmental Agencies and Sources,A Well Run City,655,Transportation Grants Fund (Sch. 29),94_299,Reimbursement of General Fund Costs,1760667,2018,
OTHERSPF,Other Special Purpose Funds,S29,Allocations from Other Governmental Agencies and Sources,9429,Allocations from Other Governmental Agencies and Sources,A Well Run City,681,West LA Transportation Improvement & Mitigation (Sch. 29),94_299,Reimbursement of General Fund Costs,210413,2018,
S36LVL4,Bond Redemption and Interest,S36,Bond Redemption and Interest,3936,Bond Redemption and Interest,A Prosperous City,A53,GOB Refunding Series 98A Debt Service Fund (Sch. 36),398110,GOB Debt Service - Principal,0,2018,
S36LVL4,Bond Redemption and Interest,S36,Bond Redemption and Interest,3936,Bond Redemption and Interest,A Prosperous City,A53,GOB Refunding Series 98A Debt Service Fund (Sch. 36),398210,GOB Debt Service - Interest,0,2018,
S36LVL4,Bond Redemption and Interest,S36,Bond Redemption and Interest,3936,Bond Redemption and Interest,A Prosperous City,A64,GOB Series 2005A Debt Service Fund (Sch. 36),398110,GOB Debt Service - Principal,0,2018,
S36LVL4,Bond Redemption and Interest,S36,Bond Redemption and Interest,3936,Bond Redemption and Interest,A Prosperous City,A64,GOB Series 2005A Debt Service Fund (Sch. 36),398210,GOB Debt Service - Interest,0,2018,
S36LVL4,Bond Redemption and Interest,S36,Bond Redemption and Interest,3936,Bond Redemption and Interest,A Prosperous City,A65,GOB Series 2005B Debt Service Fund (Sch. 36),398110,GOB Debt Service - Principal,7500000,2018,
S36LVL4,Bond Redemption and Interest,S36,Bond Redemption and Interest,3936,Bond Redemption and Interest,A Prosperous City,A65,GOB Series 2005B Debt Service Fund (Sch. 36),398210,GOB Debt Service - Interest,1154500,2018,
S36LVL4,Bond Redemption and Interest,S36,Bond Redemption and Interest,3936,Bond Redemption and Interest,A Prosperous City,A66,GOB Series 2006A Debt Service Fund (Sch. 36),398110,GOB Debt Service - Principal,3510000,2018,
S36LVL4,Bond Redemption and Interest,S36,Bond Redemption and Interest,3936,Bond Redemption and Interest,A Prosperous City,A66,GOB Series 2006A Debt Service Fund (Sch. 36),398210,GOB Debt Service - Interest,1531238,2018,
S36LVL4,Bond Redemption and Interest,S36,Bond Redemption and Interest,3936,Bond Redemption and Interest,A Prosperous City,A67,GOB Series 2008A Debt Service Fund (Sch. 36),398110,GOB Debt Service - Principal,5050000,2018,
S36LVL4,Bond Redemption and Interest,S36,Bond Redemption and Interest,3936,Bond Redemption and Interest,A Prosperous City,A67,GOB Series 2008A Debt Service Fund (Sch. 36),398210,GOB Debt Service - Interest,2110000,2018,
S36LVL4,Bond Redemption and Interest,S36,Bond Redemption and Interest,3936,Bond Redemption and Interest,A Prosperous City,A68,GOB Series 2009 Debt Service Fund (Sch. 36),398110,GOB Debt Service - Principal,8825000,2018,
