Dept Code,Department Name,Program Code,Program Name,Fund Code,Fund Name,Account Code,Account Name,2014-15 Actuals,2015-16 Adopted Budget,2015-16 Estimates,2016-17 Proposed Budget,2016-17 Adopted Budget
2,Aging,201,Senior Services,100,General Fund,5126,Fire Insurance Proceeds,,,182775,,
2,Aging,201,Senior Services,100,General Fund,5169,Jury Duty Reimbursement,,40,133,133,133
2,Aging,201,Senior Services,100,General Fund,5188,Miscellaneous Revenue-Others,2322,200,330,330,330
2,Aging,201,Senior Services,100,General Fund,5331,Reimb Of Related Cost-Pr Yr,,,44981,,
2,Aging,201,Senior Services,100,General Fund,5337,Prop A Local Transit Rel Cost,63158,156136,156136,156148,156148
2,Aging,202,Family Caregiver Services,100,General Fund,5169,Jury Duty Reimbursement,,40,,,
2,Aging,202,Family Caregiver Services,100,General Fund,5188,Miscellaneous Revenue-Others,2323,200,330,330,330
2,Aging,203,Older Workers Program,100,General Fund,5169,Jury Duty Reimbursement,,53,,,
2,Aging,203,Older Workers Program,100,General Fund,5188,Miscellaneous Revenue-Others,,260,,,
2,Aging,299,Aging - Default Program,100,General Fund,5331,Reimb Of Related Cost-Pr Yr,30814,,,,
6,Animal Services,601,Animal Control and Law Enforcement,100,General Fund,3201,Dog Licenses,,1431402,2247804,2296570,2296570
6,Animal Services,601,Animal Control and Law Enforcement,100,General Fund,3202,Duplicate Tags,,6000,6000,4500,4500
6,Animal Services,601,Animal Control and Law Enforcement,100,General Fund,3203,Sentry Dog Licenses,,,129,,
6,Animal Services,601,Animal Control and Law Enforcement,100,General Fund,3204,Sentry Dog Trainers Licenses,,,88,750,750
6,Animal Services,601,Animal Control and Law Enforcement,100,General Fund,3205,Dog License Penalty Fee,,60000,75568,75000,75000
6,Animal Services,601,Animal Control and Law Enforcement,100,General Fund,3208,Breeder'S License Fee,,150000,140130,209620,209620
6,Animal Services,601,Animal Control and Law Enforcement,100,General Fund,3209,Comm & Ind Guard Dog Licenses,,8000,9735,7500,7500
6,Animal Services,601,Animal Control and Law Enforcement,100,General Fund,3282,Filming Permits,,30000,15000,15000,15000
6,Animal Services,601,Animal Control and Law Enforcement,100,General Fund,4183,Animal Regulation Permits,,245000,,,
6,Animal Services,601,Animal Control and Law Enforcement,100,General Fund,4815,Fines And Penalties-Others,29804,50000,16405,20000,20000
6,Animal Services,601,Animal Control and Law Enforcement,100,General Fund,5188,Miscellaneous Revenue-Others,,120000,,,
6,Animal Services,602,Shelter Operations and Animal Care,100,General Fund,3207,Cat Identification Fees,,,3615,,
6,Animal Services,602,Shelter Operations and Animal Care,100,General Fund,4172,Animal Pick-Up Fees,7674,,7799,7000,7000
6,Animal Services,602,Shelter Operations and Animal Care,100,General Fund,4173,Animal Impoundment Fees,175316,,160169,187500,187500
6,Animal Services,602,Shelter Operations and Animal Care,100,General Fund,4175,Trap Rental Fees,2637,,3215,2000,2000
6,Animal Services,602,Shelter Operations and Animal Care,100,General Fund,4177,Cat Pound Fees,89165,,57750,252000,252000
6,Animal Services,602,Shelter Operations and Animal Care,100,General Fund,4178,Dog Pound Fees,788646,,504750,1457000,1457000
6,Animal Services,602,Shelter Operations and Animal Care,100,General Fund,4179,Veterinary Medical Fees,24725,,,,
6,Animal Services,602,Shelter Operations and Animal Care,100,General Fund,4180,Other Animal Pound Fees,21372,,13900,10000,10000
6,Animal Services,602,Shelter Operations and Animal Care,100,General Fund,4183,Animal Regulation Permits,297980,,,,
6,Animal Services,602,Shelter Operations and Animal Care,100,General Fund,4184,Miscellaneous-Animal Reg,13320,,,,
6,Animal Services,603,License Processing,100,General Fund,3201,Dog Licenses,1726693,,,,
6,Animal Services,603,License Processing,100,General Fund,3202,Duplicate Tags,8849,,,,
6,Animal Services,603,License Processing,100,General Fund,3203,Sentry Dog Licenses,95,,,,
6,Animal Services,603,License Processing,100,General Fund,3205,Dog License Penalty Fee,76812,,,,
6,Animal Services,603,License Processing,100,General Fund,3206,Equine Licenses,339,,,,
6,Animal Services,603,License Processing,100,General Fund,3207,Cat Identification Fees,35,,,,
6,Animal Services,603,License Processing,100,General Fund,3208,Breeder'S License Fee,192157,,,,
6,Animal Services,603,License Processing,100,General Fund,3209,Comm & Ind Guard Dog Licenses,12700,,,,
6,Animal Services,603,License Processing,100,General Fund,3282,Filming Permits,19525,,,,
6,Animal Services,607,Animal Medical Services,100,General Fund,4179,Veterinary Medical Fees,,20000,45000,15000,15000
6,Animal Services,609,Public Counters and Community Services,100,General Fund,3201,Dog Licenses,,597927,,,
6,Animal Services,609,Public Counters and Community Services,100,General Fund,4172,Animal Pick-Up Fees,,7000,,,
6,Animal Services,609,Public Counters and Community Services,100,General Fund,4173,Animal Impoundment Fees,,170000,,,
6,Animal Services,609,Public Counters and Community Services,100,General Fund,4175,Trap Rental Fees,,2000,,,
6,Animal Services,609,Public Counters and Community Services,100,General Fund,4177,Cat Pound Fees,,68000,19250,,
6,Animal Services,609,Public Counters and Community Services,100,General Fund,4178,Dog Pound Fees,,650000,168250,,
6,Animal Services,609,Public Counters and Community Services,100,General Fund,4180,Other Animal Pound Fees,,17000,,,
6,Animal Services,609,Public Counters and Community Services,100,General Fund,4183,Animal Regulation Permits,,,246793,227500,227500
6,Animal Services,609,Public Counters and Community Services,100,General Fund,4184,Miscellaneous-Animal Reg,,18000,204759,17500,17500
6,Animal Services,650,General Administration and Support,100,General Fund,4332,Bad Check Collection Fees,1470,1000,1280,1500,1500
6,Animal Services,650,General Administration and Support,100,General Fund,5361,Related Cost Reimb-Others,,,210252,213177,213177
8,Building and Safety,801,Residential Engineering Plan Checking,100,General Fund,5359,Bldg & Safety Ent Fnd Rel Cost,9000000,,,,
8,Building and Safety,802,New Commercial Construction Inspection,100,General Fund,5359,Bldg & Safety Ent Fnd Rel Cost,10377965,,,,
8,Building and Safety,804,Conservation of Existing Structures and Mechanical Devices,100,General Fund,4225,Miscellaneous Adm Services,25020,,,,
8,Building and Safety,804,Conservation of Existing Structures and Mechanical Devices,100,General Fund,4350,Subpoena Fees,35920,,35000,35000,35000
8,Building and Safety,804,Conservation of Existing Structures and Mechanical Devices,100,General Fund,5359,Bldg & Safety Ent Fnd Rel Cost,2000000,,,,
8,Building and Safety,804,Conservation of Existing Structures and Mechanical Devices,100,General Fund,5361,Related Cost Reimb-Others,137855,,,,
