"dept_code","dept_name","prog_code","prog_name","fund_code","fund_name","account_code","account_name","new_key","budget_year","revenue_amount"
"02","Aging","0201","Senior Services","100","General Fund","5169","Jury Duty Reimbursement","0202011005169","2014_15_actuals",NA
"02","Aging","0201","Senior Services","100","General Fund","5188","Miscellaneous Revenue-Others","0202011005188","2014_15_actuals",NA
"02","Aging","0201","Senior Services","100","General Fund","5331","Reimb Of Related Cost-Pr Yr","0202011005331","2014_15_actuals",NA
"02","Aging","0201","Senior Services","100","General Fund","5337","Prop A Local Transit Rel Cost","0202011005337","2014_15_actuals",NA
"02","Aging","0201","Senior Services","100","General Fund","5346","Related Cost Reimb Fr Grants","0202011005346","2014_15_actuals",NA
"02","Aging","0202","Family Caregiver Services","100","General Fund","5188","Miscellaneous Revenue-Others","0202021005188","2014_15_actuals",NA
"02","Aging","0203","Older Workers Program","100","General Fund","5188","Miscellaneous Revenue-Others","0202031005188","2014_15_actuals",NA
"06","Animal Services","0601","Animal Control and Law Enforcement","100","General Fund","3201","Dog Licenses","0606011003201","2014_15_actuals",NA
"06","Animal Services","0601","Animal Control and Law Enforcement","100","General Fund","5361","Related Cost Reimb-Others","0606011005361","2014_15_actuals",NA
"06","Animal Services","0602","Shelter Operations and Animal Care","100","General Fund","4177","Cat Pound Fees","0606021004177","2014_15_actuals",NA
"06","Animal Services","0602","Shelter Operations and Animal Care","100","General Fund","4178","Dog Pound Fees","0606021004178","2014_15_actuals",NA
"06","Animal Services","0607","Animal Medical Services","100","General Fund","4179","Veterinary Medical Fees","0606071004179","2014_15_actuals",NA
"06","Animal Services","0609","Public Counters and Community Services","100","General Fund","3201","Dog Licenses","0606091003201","2014_15_actuals",NA
"06","Animal Services","0609","Public Counters and Community Services","100","General Fund","3202","Duplicate Tags","0606091003202","2014_15_actuals",NA
"06","Animal Services","0609","Public Counters and Community Services","100","General Fund","3203","Sentry Dog Licenses","0606091003203","2014_15_actuals",NA
"06","Animal Services","0609","Public Counters and Community Services","100","General Fund","3204","Sentry Dog Trainers Licenses","0606091003204","2014_15_actuals",NA
"06","Animal Services","0609","Public Counters and Community Services","100","General Fund","3205","Dog License Penalty Fee","0606091003205","2014_15_actuals",NA
"06","Animal Services","0609","Public Counters and Community Services","100","General Fund","3206","Equine Licenses","0606091003206","2014_15_actuals",NA
"06","Animal Services","0609","Public Counters and Community Services","100","General Fund","3207","Cat Identification Fees","0606091003207","2014_15_actuals",NA
"06","Animal Services","0609","Public Counters and Community Services","100","General Fund","3208","Breeder's License Fee","0606091003208","2014_15_actuals",NA
"06","Animal Services","0609","Public Counters and Community Services","100","General Fund","3209","Comm & Ind Guard Dog Licenses","0606091003209","2014_15_actuals",NA
"06","Animal Services","0609","Public Counters and Community Services","100","General Fund","3282","Filming Permits","0606091003282","2014_15_actuals",NA
"06","Animal Services","0609","Public Counters and Community Services","100","General Fund","4172","Animal Pick-Up Fees","0606091004172","2014_15_actuals",NA
"06","Animal Services","0609","Public Counters and Community Services","100","General Fund","4173","Animal Impoundment Fees","0606091004173","2014_15_actuals",NA
"06","Animal Services","0609","Public Counters and Community Services","100","General Fund","4175","Trap Rental Fees","0606091004175","2014_15_actuals",NA
"06","Animal Services","0609","Public Counters and Community Services","100","General Fund","4180","Other Animal Pound Fees","0606091004180","2014_15_actuals",NA
"06","Animal Services","0650","General Administration and Support","100","General Fund","3201","Dog Licenses","0606501003201","2014_15_actuals",NA
