"dept_code","dept_name","prog_code","prog_name","fund_code","fund_name","account_code","account_name","new_key","2014_15_actuals","2015_16_adopted_budget","2015_16_estimates","2016_17_adopted_budget","2016_17_estimates","2016_17_proposed_budget","2017_18_proposed"
"02","Aging","0201","Senior Services","100","General Fund","5169","Jury Duty Reimbursement","0202011005169",NA,NA,NA,NA,0,NA,133
"02","Aging","0201","Senior Services","100","General Fund","5188","Miscellaneous Revenue-Others","0202011005188",NA,NA,NA,NA,0,NA,330
"02","Aging","0201","Senior Services","100","General Fund","5331","Reimb Of Related Cost-Pr Yr","0202011005331",NA,NA,NA,NA,49774,NA,0
"02","Aging","0201","Senior Services","100","General Fund","5337","Prop A Local Transit Rel Cost","0202011005337",NA,NA,NA,NA,156000,NA,186806
"02","Aging","0201","Senior Services","100","General Fund","5346","Related Cost Reimb Fr Grants","0202011005346",NA,NA,NA,NA,20000,NA,40726
"02","Aging","0202","Family Caregiver Services","100","General Fund","5188","Miscellaneous Revenue-Others","0202021005188",NA,NA,NA,NA,0,NA,330
"02","Aging","0203","Older Workers Program","100","General Fund","5188","Miscellaneous Revenue-Others","0202031005188",NA,NA,NA,NA,546,NA,0
"06","Animal Services","0601","Animal Control and Law Enforcement","100","General Fund","3201","Dog Licenses","0606011003201",NA,NA,NA,NA,134712,NA,130863
"06","Animal Services","0601","Animal Control and Law Enforcement","100","General Fund","5361","Related Cost Reimb-Others","0606011005361",NA,NA,NA,NA,0,NA,72570
"06","Animal Services","0602","Shelter Operations and Animal Care","100","General Fund","4177","Cat Pound Fees","0606021004177",NA,NA,NA,NA,80000,NA,80000
"06","Animal Services","0602","Shelter Operations and Animal Care","100","General Fund","4178","Dog Pound Fees","0606021004178",NA,NA,NA,NA,850000,NA,850000
"06","Animal Services","0607","Animal Medical Services","100","General Fund","4179","Veterinary Medical Fees","0606071004179",NA,NA,NA,NA,40000,NA,27000
"06","Animal Services","0609","Public Counters and Community Services","100","General Fund","3201","Dog Licenses","0606091003201",NA,NA,NA,NA,613000,NA,595486
"06","Animal Services","0609","Public Counters and Community Services","100","General Fund","3202","Duplicate Tags","0606091003202",NA,NA,NA,NA,6000,NA,6000
"06","Animal Services","0609","Public Counters and Community Services","100","General Fund","3203","Sentry Dog Licenses","0606091003203",NA,NA,NA,NA,200,NA,0
"06","Animal Services","0609","Public Counters and Community Services","100","General Fund","3204","Sentry Dog Trainers Licenses","0606091003204",NA,NA,NA,NA,4500,NA,100
"06","Animal Services","0609","Public Counters and Community Services","100","General Fund","3205","Dog License Penalty Fee","0606091003205",NA,NA,NA,NA,75000,NA,75000
"06","Animal Services","0609","Public Counters and Community Services","100","General Fund","3206","Equine Licenses","0606091003206",NA,NA,NA,NA,1500,NA,0
"06","Animal Services","0609","Public Counters and Community Services","100","General Fund","3207","Cat Identification Fees","0606091003207",NA,NA,NA,NA,1000,NA,0
"06","Animal Services","0609","Public Counters and Community Services","100","General Fund","3208","Breeder's License Fee","0606091003208",NA,NA,NA,NA,185000,NA,188000
"06","Animal Services","0609","Public Counters and Community Services","100","General Fund","3209","Comm & Ind Guard Dog Licenses","0606091003209",NA,NA,NA,NA,7500,NA,6000
"06","Animal Services","0609","Public Counters and Community Services","100","General Fund","3282","Filming Permits","0606091003282",NA,NA,NA,NA,15000,NA,6000
"06","Animal Services","0609","Public Counters and Community Services","100","General Fund","4172","Animal Pick-Up Fees","0606091004172",NA,NA,NA,NA,7000,NA,7000
"06","Animal Services","0609","Public Counters and Community Services","100","General Fund","4173","Animal Impoundment Fees","0606091004173",NA,NA,NA,NA,187500,NA,188000
"06","Animal Services","0609","Public Counters and Community Services","100","General Fund","4175","Trap Rental Fees","0606091004175",NA,NA,NA,NA,2000,NA,2000
"06","Animal Services","0609","Public Counters and Community Services","100","General Fund","4180","Other Animal Pound Fees","0606091004180",NA,NA,NA,NA,22000,NA,20000
"06","Animal Services","0650","General Administration and Support","100","General Fund","3201","Dog Licenses","0606501003201",NA,NA,NA,NA,1002288,NA,973651
"06","Animal Services","0650","General Administration and Support","100","General Fund","4183","Animal Regulation Permits","0606501004183",NA,NA,NA,NA,340000,NA,275000
"06","Animal Services","0650","General Administration and Support","100","General Fund","4184","Miscellaneous-Animal Reg","0606501004184",NA,NA,NA,NA,50000,NA,50000
